MAE,RMSE,sMAPE,MASE,model,horizon,series_id,seasonality_strength
127.80410402571195,145.8026222019171,2.350669694229545,0.5066804266233912,AutoTheta,14,T3604,0.9863441669952303
22.15428571428572,26.361661556131104,2.888628001309383,0.7115113429977565,Naive,7,T2255,0.9906814021884256
24.788571428571426,29.127891395410977,3.249836492819021,0.7961145746516035,Naive,14,T2255,0.9906814021884256
20.364285714285725,23.775210078687316,2.6555581964673802,0.6540233553284125,SeasonalNaive,7,T2255,0.9906814021884256
24.38857142857143,28.84746361715111,3.1966039238683255,0.7832680969601301,SeasonalNaive,14,T2255,0.9906814021884256
22.154100725401268,26.36118412343095,2.888604250681596,0.7115054018588133,AutoETS,7,T2255,0.9906814021884256
24.787831473033616,29.127065792999524,3.249741405883065,0.7960908100958306,AutoETS,14,T2255,0.9906814021884256
22.01145356302623,25.993986681671508,2.8702784496638154,0.706924117885806,AutoTheta,7,T2255,0.9906814021884256
23.581985436460325,27.870208117505566,3.094552454226444,0.7573636245753541,AutoTheta,14,T2255,0.9906814021884256
64.7000000000002,85.95768892725296,0.3955190451014853,0.33763552630218874,Naive,7,T3245,0.9897138712829331
162.01428571428576,208.25631871737838,0.9831377056317435,0.8454679849399673,Naive,14,T3245,0.9897138712829331
184.37142857142862,191.17610430475582,1.1334167355039226,0.9621382429799151,SeasonalNaive,7,T3245,0.9897138712829331
317.8999999999999,373.2277454852465,1.9429654851244742,1.6589541547367148,SeasonalNaive,14,T3245,0.9897138712829331
65.37578694260472,85.31103076167372,0.3996455169700857,0.34116210559174703,AutoETS,7,T3245,0.9897138712829331
163.3658595994948,210.364478032436,0.9913896409430911,0.8525211435190839,AutoETS,14,T3245,0.9897138712829331
65.15117123304948,85.03202518479945,0.39828586894514895,0.33998995345401256,AutoTheta,7,T3245,0.9897138712829331
165.04694500571193,210.7624388035448,1.0016603097024415,0.8612938507198111,AutoTheta,14,T3245,0.9897138712829331
222.4857142857141,228.1333820377893,2.8502971124349092,0.8455765962470732,Naive,7,T2426,0.8404422151024947
316.7571428571427,338.1078103631611,4.025464006045014,1.203863481994758,Naive,14,T2426,0.8404422151024947
431.4714285714285,452.043295966848,5.626269474336641,1.6398452508315378,SeasonalNaive,7,T2426,0.8404422151024947
525.742857142857,546.0002171637453,6.800692340031864,1.9981321365792222,SeasonalNaive,14,T2426,0.8404422151024947
222.49799387879972,228.14535765354927,2.8504567860268564,0.8456232659245307,AutoETS,7,T2426,0.8404422151024947
316.7694224502283,338.1193145577493,4.025623640325954,1.2039101516722155,AutoETS,14,T2426,0.8404422151024947
223.9364073045842,230.99521702827897,2.8692470871682816,0.8510900831198541,AutoTheta,7,T2426,0.8404422151024947
318.55135098620997,341.28696953843394,4.048866527158671,1.21068252836637,AutoTheta,14,T2426,0.8404422151024947
22.68428571428571,23.690787540428335,2.8272364199379063,0.3604058641887032,Naive,7,T1317,0.9871853456755911
21.555714285714277,22.766372758334345,2.68775631248827,0.34247522417931486,Naive,14,T1317,0.9871853456755911
20.25142857142857,21.581534435054166,2.522072239972809,0.321752851611503,SeasonalNaive,7,T1317,0.9871853456755911
19.714285714285705,21.19707661784655,2.4564380737343994,0.3132187748475409,SeasonalNaive,14,T1317,0.9871853456755911
21.505147450551412,22.66989557630836,2.678141858853214,0.34167182291044956,AutoETS,7,T1317,0.9871853456755911
